InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
543446,22839,3 tier cake tin green and cream,1,2011-02-08 12:01:00,14.95,15827.0,United Kingdom,14.95
557750,16219,house shape pencil sharpener,48,2011-06-22 12:50:00,0.06,16841.0,United Kingdom,2.88
562517,22666,recipe box pantry yellow design,1,2011-08-05 12:27:00,2.95,15719.0,United Kingdom,2.95
572240,22191,ivory diner wall clock,2,2011-10-21 15:18:00,8.5,13709.0,United Kingdom,17.0
565118,22998,travel card wallet keep calm,2,2011-09-01 11:33:00,0.42,15039.0,United Kingdom,0.84
552469,21213,pack of 72 skull cake cases,6,2011-05-09 15:34:00,0.55,12867.0,United Kingdom,3.3000000000000003
568152,22382,lunch bag spaceboy design,1,2011-09-25 11:40:00,1.65,16480.0,United Kingdom,1.65
580305,23084,rabbit night light,3,2011-12-02 14:26:00,2.08,12970.0,United Kingdom,6.24
558389,85132C,charlie and lola figures tins,12,2011-06-29 10:18:00,1.95,14383.0,United Kingdom,23.4
552285,20961,strawberry bath sponge,1,2011-05-08 12:58:00,1.25,14684.0,United Kingdom,1.25
558862,21892,traditional wooden catch cup game,12,2011-07-04 12:25:00,1.25,13901.0,United Kingdom,15.0
560094,21977,pack of 60 pink paisley cake cases,2,2011-07-14 17:13:00,0.55,18109.0,United Kingdom,1.1
544447,21592,retrospot cigar box matches,2,2011-02-20 11:39:00,1.25,16466.0,United Kingdom,2.5
556784,20699,mousey long legs soft toy,2,2011-06-14 13:15:00,2.55,14461.0,United Kingdom,5.1
580600,22593,christmas gingham star,36,2011-12-05 11:13:00,0.85,12841.0,United Kingdom,30.599999999999998
560272,23256,childrens cutlery spaceboy,8,2011-07-17 14:56:00,4.15,12691.0,France,33.2
572843,21485,retrospot heart hot water bottle,9,2011-10-26 12:06:00,4.95,14315.0,United Kingdom,44.550000000000004
562202,23171,regency tea plate green,24,2011-08-03 12:33:00,1.65,15290.0,United Kingdom,39.599999999999994
574709,85066,cream sweetheart mini chest,2,2011-11-06 14:14:00,12.75,17768.0,United Kingdom,25.5
553184,21172,party metal sign,2,2011-05-15 12:33:00,1.45,13232.0,United Kingdom,2.9
574852,37450,ceramic cake bowl + hanging cakes,2,2011-11-07 12:04:00,2.95,15493.0,United Kingdom,5.9
569653,22704,wrap red apples,75,2011-10-05 12:52:00,0.42,12451.0,Switzerland,31.5
572192,82494L,wooden frame antique white,6,2011-10-21 11:30:00,2.95,18118.0,United Kingdom,17.700000000000003
552764,22559,seaside flying disc,12,2011-05-11 11:34:00,1.25,17489.0,United Kingdom,15.0
544069,22659,lunch box i love london,12,2011-02-15 14:17:00,1.95,12616.0,France,23.4
568202,22570,feltcraft cushion rabbit,4,2011-09-25 15:01:00,3.75,15366.0,United Kingdom,15.0
572319,16046,teatime pen case & pens,1,2011-10-23 16:19:00,0.85,14704.0,United Kingdom,0.85
561923,85099B,jumbo bag red retrospot,10,2011-08-01 12:16:00,2.08,14112.0,United Kingdom,20.8
558096,22795,sweetheart recipe book stand,2,2011-06-26 13:24:00,6.75,15532.0,United Kingdom,13.5
556642,23298,spotty bunting,4,2011-06-13 15:47:00,4.95,17236.0,United Kingdom,19.8
554028,23174,regency sugar bowl green,6,2011-05-20 13:43:00,4.15,15410.0,United Kingdom,24.900000000000002
561502,84879,assorted colour bird ornament,16,2011-07-27 14:14:00,1.69,14305.0,United Kingdom,27.04
544051,85099C,jumbo  bag baroque black white,10,2011-02-15 12:40:00,1.95,16700.0,United Kingdom,19.5
561355,21789,kids rain mac pink,24,2011-07-26 14:51:00,0.85,13090.0,United Kingdom,20.4
564324,90030C,brown kukui coconut seed necklace,6,2011-08-24 13:26:00,1.0,13694.0,United Kingdom,6.0
557802,20969,red floral feltcraft shoulder bag,4,2011-06-23 10:15:00,3.75,15130.0,United Kingdom,15.0
550342,20974,12 pencils small tube skull,24,2011-04-17 15:55:00,0.65,13018.0,United Kingdom,15.600000000000001
556917,23190,bundle of 3 school exercise books,144,2011-06-15 13:37:00,1.45,12415.0,Australia,208.79999999999998
576655,23405,home sweet home 2 drawer cabinet,4,2011-11-16 10:55:00,4.95,15687.0,United Kingdom,19.8
568710,21159,moody boy  door hanger,1,2011-09-28 15:42:00,0.39,14649.0,United Kingdom,0.39
580514,23223,christmas tree hanging silver,15,2011-12-04 14:01:00,0.83,16905.0,United Kingdom,12.45
556507,21561,dinosaur lunch box with cutlery,6,2011-06-13 09:55:00,2.55,12567.0,France,15.299999999999999
581098,22072,red retrospot tea cup and saucer,12,2011-12-07 11:42:00,1.25,14911.0,EIRE,15.0
558368,20712,jumbo bag woodland animals,10,2011-06-28 15:36:00,2.08,14329.0,United Kingdom,20.8
557625,21090,set/6 collage paper plates,12,2011-06-21 14:23:00,0.39,15159.0,United Kingdom,4.68
568198,22505,memo board cottage design,2,2011-09-25 14:52:00,4.95,16771.0,United Kingdom,9.9
560302,82484,wood black board ant white finish,6,2011-07-18 10:43:00,7.95,14397.0,United Kingdom,47.7
565202,22197,popcorn holder,3,2011-09-01 16:44:00,0.85,14482.0,United Kingdom,2.55
579167,22644,ceramic cherry cake money bank,8,2011-11-28 14:06:00,1.45,16800.0,United Kingdom,11.6
550526,22977,dolly girl childrens egg cup,12,2011-04-19 10:40:00,1.25,14309.0,United Kingdom,15.0
568101,23351,roll wrap 50's christmas,24,2011-09-23 15:21:00,1.25,15978.0,United Kingdom,30.0
565383,20718,red retrospot shopper bag,1,2011-09-02 15:45:00,2.46,14096.0,United Kingdom,2.46
553061,23201,jumbo bag alphabet,4,2011-05-13 11:12:00,2.08,17238.0,United Kingdom,8.32
536632,22111,scottie dog hot water bottle,3,2010-12-02 11:02:00,4.95,14388.0,United Kingdom,14.850000000000001
566821,85099B,jumbo bag red retrospot,20,2011-09-15 11:33:00,2.08,14227.0,United Kingdom,41.6
579690,23394,poste france cushion cover,1,2011-11-30 14:03:00,3.75,15060.0,United Kingdom,3.75
545683,22469,heart of wicker small,4,2011-03-06 11:50:00,1.65,14903.0,United Kingdom,6.6
543982,22081,ribbon reel flora + fauna,10,2011-02-15 08:21:00,1.65,15358.0,United Kingdom,16.5
543124,21121,set/10 red polkadot party candles,3,2011-02-03 14:15:00,1.25,15311.0,United Kingdom,3.75
550493,21212,pack of 72 retrospot cake cases,120,2011-04-18 14:50:00,0.42,15311.0,United Kingdom,50.4
570252,22633,hand warmer union jack,12,2011-10-10 09:14:00,2.1,14665.0,United Kingdom,25.200000000000003
580319,23357,hot water bottle sex bomb,24,2011-12-02 15:39:00,1.65,15078.0,United Kingdom,39.599999999999994
556470,48188,doormat welcome puppies,2,2011-06-12 11:41:00,7.95,15291.0,United Kingdom,15.9
539261,22539,mini jigsaw dolly girl,24,2010-12-16 14:34:00,0.42,15620.0,United Kingdom,10.08
539475,22746,poppy's playhouse livingroom,2,2010-12-19 14:41:00,2.1,16686.0,United Kingdom,4.2
559155,16156L,wrap carousel,25,2011-07-06 15:49:00,0.42,13418.0,United Kingdom,10.5
549296,22767,triple photo frame cornice,2,2011-04-08 07:37:00,9.95,14619.0,United Kingdom,19.9
568148,22112,chocolate hot water bottle,24,2011-09-25 11:36:00,4.25,14135.0,United Kingdom,102.0
569236,22210,wood stamp set best wishes,1,2011-10-02 15:49:00,0.83,14432.0,United Kingdom,0.83
547413,22341,love garland painted zinc,12,2011-03-23 09:43:00,1.65,13475.0,United Kingdom,19.799999999999997
536977,21094,set/6 red spotty paper plates,10,2010-12-03 14:18:00,0.85,17954.0,United Kingdom,8.5
577228,20676,red retrospot bowl,2,2011-11-18 12:07:00,1.25,12391.0,Cyprus,2.5
557798,72351B,set/6 pink  butterfly t-lights,12,2011-06-23 09:38:00,2.1,16187.0,United Kingdom,25.200000000000003
561709,21359,relax large wood letters,2,2011-07-29 11:35:00,3.95,17790.0,United Kingdom,7.9
555340,20676,red retrospot bowl,12,2011-06-02 11:33:00,1.25,13334.0,United Kingdom,15.0
558355,10133,colouring pencils brown tube,4,2011-06-28 14:58:00,0.42,13614.0,United Kingdom,1.68
564172,22646,ceramic strawberry cake money bank,8,2011-08-23 14:19:00,1.45,16033.0,United Kingdom,11.6
573373,84991,60 teatime fairy cake cases,1,2011-10-30 13:37:00,0.55,14684.0,United Kingdom,0.55
540802,22423,regency cakestand 3 tier,16,2011-01-11 12:29:00,10.95,15189.0,United Kingdom,175.2
556071,82583,hot baths metal sign,12,2011-06-08 14:52:00,2.1,15974.0,United Kingdom,25.200000000000003
573778,22112,chocolate hot water bottle,24,2011-11-01 10:56:00,4.25,18092.0,United Kingdom,102.0
571461,21647,assorted tutti frutti large purse,1,2011-10-17 14:12:00,2.1,16932.0,United Kingdom,2.1
540240,22610,pens assorted funny face,36,2011-01-05 15:09:00,0.21,17585.0,United Kingdom,7.56
537595,21479,white skull hot water bottle,1,2010-12-07 12:29:00,3.75,13569.0,United Kingdom,3.75
573083,22358,kings choice tea caddy,3,2011-10-27 14:22:00,2.95,13735.0,United Kingdom,8.850000000000001
576899,22624,ivory kitchen scales,2,2011-11-17 08:49:00,8.5,14911.0,EIRE,17.0
546843,21680,woodland  stickers,12,2011-03-17 12:40:00,0.85,12472.0,Germany,10.2
547063,22673,french garden sign blue metal,2,2011-03-20 13:33:00,1.25,14769.0,United Kingdom,2.5
553005,22479,daisy garden marker,7,2011-05-12 16:29:00,1.25,14651.0,United Kingdom,8.75
569653,84997D,childrens cutlery polkadot pink,8,2011-10-05 12:52:00,4.15,12451.0,Switzerland,33.2
560862,22178,victorian glass hanging t-light,12,2011-07-21 13:48:00,1.25,14085.0,United Kingdom,15.0
566021,21498,red retrospot wrap,25,2011-09-08 12:47:00,0.42,15306.0,United Kingdom,10.5
545327,21428,set3 book box green gingham flower,3,2011-03-01 15:16:00,4.25,13166.0,United Kingdom,12.75
572219,23343,jumbo bag vintage christmas,2,2011-10-21 13:17:00,2.08,17463.0,United Kingdom,4.16
556258,22992,revolver wooden ruler,24,2011-06-09 17:48:00,1.95,12694.0,France,46.8
562219,84050,pink heart shape egg frying pan,6,2011-08-03 14:14:00,1.65,15089.0,United Kingdom,9.899999999999999
560415,85066,cream sweetheart mini chest,2,2011-07-18 14:36:00,12.75,15152.0,United Kingdom,25.5
555413,22433,watering can green dinosaur,1,2011-06-03 09:50:00,1.95,17994.0,United Kingdom,1.95
547058,21870,i can only please one person mug,12,2011-03-20 12:44:00,1.25,14232.0,United Kingdom,15.0
576213,16216,letter shape pencil sharpener,80,2011-11-14 12:47:00,0.06,18117.0,United Kingdom,4.8
544411,21232,strawberry ceramic trinket box,12,2011-02-18 14:18:00,1.25,13799.0,United Kingdom,15.0
579516,22939,adult apron apple delight,1,2011-11-29 17:52:00,4.95,17841.0,United Kingdom,4.95
572294,23295,set of 12 mini loaf baking cases,8,2011-10-23 13:10:00,0.83,13471.0,United Kingdom,6.64
576932,23328,set 6 school milk bottles in crate,2,2011-11-17 11:12:00,3.75,15443.0,United Kingdom,7.5
563354,21070,vintage billboard mug,2,2011-08-15 14:35:00,1.25,15271.0,United Kingdom,2.5
571064,21620,set of 4 rose botanical candles,1,2011-10-13 14:48:00,1.25,17181.0,United Kingdom,1.25
571442,23100,silver bells table decoration,12,2011-10-17 13:39:00,1.25,17049.0,United Kingdom,15.0
573903,22558,clothes pegs retrospot pack 24,2,2011-11-01 14:51:00,1.65,14667.0,United Kingdom,3.3
554098,23144,zinc t-light holder stars small,12,2011-05-22 13:01:00,0.83,14769.0,United Kingdom,9.959999999999999
578278,22306,silver mug bone china tree of life,6,2011-11-23 13:51:00,1.06,12748.0,United Kingdom,6.36
581101,23137,zinc wire sweetheart letter tray,5,2011-12-07 11:48:00,1.25,17835.0,United Kingdom,6.25
558871,20725,lunch bag red retrospot,100,2011-07-04 13:19:00,1.45,12557.0,Spain,145.0
561893,22507,memo board retrospot  design,2,2011-07-31 14:39:00,4.95,12942.0,United Kingdom,9.9
567890,22623,box of vintage jigsaw blocks,3,2011-09-22 15:40:00,5.95,14125.0,United Kingdom,17.85
545338,21868,potting shed tea mug,2,2011-03-01 17:32:00,1.25,17449.0,United Kingdom,2.5
577300,22114,hot water bottle tea and sympathy,2,2011-11-18 12:53:00,4.25,16924.0,United Kingdom,8.5
563538,21989,pack of 20 skull paper napkins,1,2011-08-17 11:48:00,0.85,17841.0,United Kingdom,0.85
536956,85152,hand over the chocolate   sign,12,2010-12-03 12:43:00,2.1,14210.0,United Kingdom,25.200000000000003
543645,22386,jumbo bag pink polkadot,1,2011-02-10 17:54:00,1.95,17609.0,United Kingdom,1.95
576339,22144,christmas craft little friends,9,2011-11-14 15:27:00,4.13,14096.0,United Kingdom,37.17
538184,22053,empire design rosette,10,2010-12-10 10:21:00,1.25,17880.0,United Kingdom,12.5
544463,90160C,turq+red boudicca large bracelet,1,2011-02-20 14:31:00,6.95,12988.0,United Kingdom,6.95
553141,22907,pack of 20 napkins pantry design,8,2011-05-13 13:01:00,0.85,15907.0,United Kingdom,6.8
557064,21067,vintage red teatime mug,1,2011-06-16 15:07:00,1.25,13263.0,United Kingdom,1.25
546580,20719,woodland charlotte bag,20,2011-03-15 11:09:00,0.85,14911.0,EIRE,17.0
560053,85132C,charlie and lola figures tins,12,2011-07-14 15:44:00,1.95,17612.0,United Kingdom,23.4
548714,22699,roses regency teacup and saucer,1,2011-04-03 15:07:00,2.95,17337.0,United Kingdom,2.95
563912,23199,jumbo bag apples,10,2011-08-21 12:58:00,2.08,17675.0,United Kingdom,20.8
569123,22197,popcorn holder,3,2011-09-30 13:09:00,0.85,12748.0,United Kingdom,2.55
578852,20749,assorted colour mini cases,1,2011-11-27 11:12:00,7.95,17841.0,United Kingdom,7.95
581401,23284,doormat keep calm and come in,4,2011-12-08 13:43:00,8.25,17644.0,United Kingdom,33.0
567816,82494L,wooden frame antique white,6,2011-09-22 12:34:00,2.95,17243.0,United Kingdom,17.700000000000003
542898,22649,strawberry fairy cake teapot,1,2011-02-01 14:01:00,4.95,16110.0,United Kingdom,4.95
550938,20679,edwardian parasol red,3,2011-04-21 15:16:00,5.95,16019.0,United Kingdom,17.85
565388,22685,french blue metal door sign 0,4,2011-09-02 15:56:00,1.25,14415.0,United Kingdom,5.0
537773,21984,pack of 12 pink paisley tissues,1,2010-12-08 12:36:00,0.29,16016.0,United Kingdom,0.29
577893,22111,scottie dog hot water bottle,2,2011-11-22 11:47:00,4.95,17073.0,United Kingdom,9.9
538488,35971,rose folkart heart decorations,6,2010-12-12 12:41:00,1.25,13715.0,United Kingdom,7.5
554392,22426,enamel wash bowl cream,1,2011-05-24 12:04:00,3.75,14534.0,United Kingdom,3.75
572194,79030D,tumbler baroque,6,2011-10-21 11:43:00,0.39,17832.0,United Kingdom,2.34
560590,23243,set of tea coffee sugar tins pantry,4,2011-07-19 15:55:00,4.95,12560.0,Germany,19.8
569246,21929,jumbo bag pink vintage paisley,1,2011-10-03 09:57:00,4.13,14096.0,United Kingdom,4.13
536799,22745,poppy's playhouse bedroom,2,2010-12-02 16:00:00,2.1,17228.0,United Kingdom,4.2
538369,84029E,red woolly hottie white heart.,5,2010-12-12 11:06:00,3.75,17251.0,United Kingdom,18.75
573121,23581,jumbo bag paisley park,10,2011-10-27 16:22:00,2.08,15498.0,United Kingdom,20.8
573029,23382,box of 6 christmas cake decorations,4,2011-10-27 13:33:00,3.75,14971.0,United Kingdom,15.0
538171,22417,pack of 60 spaceboy cake cases,3,2010-12-09 20:01:00,0.55,17530.0,United Kingdom,1.6500000000000001
573143,48138,doormat union flag,10,2011-10-27 17:56:00,7.08,13098.0,United Kingdom,70.8
578133,22865,hand warmer owl design,12,2011-11-23 10:55:00,2.1,14205.0,United Kingdom,25.200000000000003
573364,84950,assorted colour t-light holder,12,2011-10-30 13:09:00,0.65,14710.0,United Kingdom,7.800000000000001
566295,21179,no junk mail metal sign,2,2011-09-11 15:44:00,0.39,15547.0,United Kingdom,0.78
566557,23390,dolly girl mini backpack,50,2011-09-13 11:47:00,3.75,14646.0,Netherlands,187.5
579435,22795,sweetheart recipe book stand,4,2011-11-29 13:20:00,6.75,16782.0,United Kingdom,27.0
581179,23254,childrens cutlery dolly girl,4,2011-12-07 15:43:00,4.15,12471.0,Germany,16.6
543653,22131,food container set 3 love heart,2,2011-02-11 10:26:00,1.95,14796.0,United Kingdom,3.9
552291,21240,blue polkadot cup,8,2011-05-08 14:00:00,0.85,15421.0,United Kingdom,6.8
578074,23330,decorative wicker heart medium,3,2011-11-22 16:06:00,1.25,17590.0,United Kingdom,3.75
580541,22026,banquet birthday  card,12,2011-12-05 09:03:00,0.42,15358.0,United Kingdom,5.04
580140,21231,sweetheart ceramic trinket box,12,2011-12-02 09:19:00,1.25,14895.0,United Kingdom,15.0
539471,22375,airline bag vintage jet set brown,1,2010-12-19 14:16:00,4.25,17358.0,United Kingdom,4.25
579472,21878,pack of 6 sandcastle flags assorted,1,2011-11-29 15:09:00,0.85,13521.0,United Kingdom,0.85
576190,21094,set/6 red spotty paper plates,1,2011-11-14 11:46:00,0.85,15039.0,United Kingdom,0.85
539731,21218,red spotty biscuit tin,48,2010-12-21 15:05:00,3.25,14646.0,Netherlands,156.0
553524,22691,doormat welcome sunrise,1,2011-05-17 14:46:00,7.95,15570.0,United Kingdom,7.95
581473,20718,red retrospot shopper bag,1,2011-12-08 19:57:00,1.25,12748.0,United Kingdom,1.25
550918,22442,grow your own flowers set of 3,2,2011-04-21 14:03:00,7.95,17630.0,United Kingdom,15.9
537335,22186,red star card holder,5,2010-12-06 12:15:00,2.95,15048.0,United Kingdom,14.75
566291,22193,red diner wall clock,1,2011-09-11 15:31:00,8.5,12965.0,United Kingdom,8.5
538872,22727,alarm clock bakelike red,8,2010-12-14 15:13:00,3.75,13097.0,United Kingdom,30.0
543978,20971,pink blue felt craft trinket box,3,2011-02-14 15:37:00,1.25,12867.0,United Kingdom,3.75
576640,84947,antique silver tea glass engraved,36,2011-11-16 09:44:00,1.25,13894.0,United Kingdom,45.0
573300,84050,pink heart shape egg frying pan,1,2011-10-28 16:10:00,1.65,16049.0,United Kingdom,1.65
567302,22141,christmas craft tree top angel,12,2011-09-19 13:02:00,2.1,15058.0,United Kingdom,25.200000000000003
550342,22644,ceramic cherry cake money bank,12,2011-04-17 15:55:00,1.45,13018.0,United Kingdom,17.4
538558,22346,party pizza dish green polkadot,24,2010-12-13 10:58:00,0.21,13069.0,United Kingdom,5.04
580278,22413,metal sign take it or leave it,3,2011-12-02 13:11:00,2.95,13560.0,United Kingdom,8.850000000000001
566017,22431,watering can blue elephant,12,2011-09-08 12:27:00,1.95,13330.0,United Kingdom,23.4
567853,22726,alarm clock bakelike green,2,2011-09-22 13:31:00,3.75,15484.0,United Kingdom,7.5
557972,POST,postage,2,2011-06-24 10:16:00,18.0,12500.0,Germany,36.0
569022,23027,drawer knob vintage glass hexagon,12,2011-09-30 09:45:00,2.08,17725.0,United Kingdom,24.96
556023,85099C,jumbo  bag baroque black white,4,2011-06-08 12:21:00,2.08,14527.0,United Kingdom,8.32
542659,21080,set/20 red retrospot paper napkins,24,2011-01-31 12:09:00,0.85,15738.0,United Kingdom,20.4
579493,23103,jingle bell heart decoration,24,2011-11-29 15:24:00,1.65,15570.0,United Kingdom,39.599999999999994
554998,84987,set of 36 teatime paper doilies,4,2011-05-29 15:35:00,1.45,15925.0,United Kingdom,5.8
557892,22900,set 2 tea towels i love london,2,2011-06-23 14:11:00,3.25,14534.0,United Kingdom,6.5
569661,84946,antique silver t-light glass,12,2011-10-05 13:10:00,1.25,17483.0,United Kingdom,15.0
576597,85049A,traditional christmas ribbons,12,2011-11-15 14:57:00,1.25,14194.0,United Kingdom,15.0
571032,23093,small parisienne heart photo frame,1,2011-10-13 12:38:00,2.49,13827.0,United Kingdom,2.49
540798,85204,hanging wood and felt flower,12,2011-01-11 12:11:00,0.42,17365.0,United Kingdom,5.04
544447,84459B,yellow metal chicken heart,3,2011-02-20 11:39:00,1.49,16466.0,United Kingdom,4.47
551014,22972,children's spaceboy mug,12,2011-04-26 11:04:00,1.65,13209.0,United Kingdom,19.799999999999997
562039,22662,lunch bag dolly girl design,10,2011-08-02 09:55:00,1.65,12593.0,France,16.5
575181,21929,jumbo bag pink vintage paisley,10,2011-11-09 08:21:00,2.08,14709.0,United Kingdom,20.8
538807,22168,organiser wood antique white,1,2010-12-14 12:06:00,8.5,17194.0,United Kingdom,8.5
568001,85123A,white hanging heart t-light holder,12,2011-09-23 11:35:00,2.95,12540.0,Spain,35.400000000000006
571117,22114,hot water bottle tea and sympathy,4,2011-10-13 17:51:00,4.25,16224.0,United Kingdom,17.0
552669,15039,sandalwood fan,4,2011-05-10 15:05:00,0.85,16710.0,United Kingdom,3.4
557492,20996,jazz hearts address book,24,2011-06-20 15:08:00,0.19,13717.0,United Kingdom,4.5600000000000005
545417,22843,biscuit tin vintage green,2,2011-03-02 13:42:00,6.75,15622.0,United Kingdom,13.5
546030,85176,sewing susan 21 needle set,12,2011-03-09 08:59:00,0.85,14013.0,United Kingdom,10.2
562578,22568,feltcraft cushion owl,4,2011-08-07 13:17:00,3.75,14331.0,United Kingdom,15.0
557129,23166,medium ceramic top storage jar,2,2011-06-16 19:59:00,1.25,17841.0,United Kingdom,2.5
573276,22662,lunch bag dolly girl design,20,2011-10-28 13:14:00,1.65,13985.0,United Kingdom,33.0
574701,20992,jazz hearts purse notebook,4,2011-11-06 13:54:00,0.39,15426.0,United Kingdom,1.56
558159,47566,party bunting,1,2011-06-27 11:50:00,4.95,16904.0,United Kingdom,4.95
549309,21914,blue harmonica in box,12,2011-04-08 09:15:00,1.25,15114.0,United Kingdom,15.0
560203,22615,pack of 12 circus parade tissues,2,2011-07-15 13:13:00,0.29,15311.0,United Kingdom,0.58
563680,23294,set of 6 snack loaf baking cases,8,2011-08-18 12:06:00,0.83,18272.0,United Kingdom,6.64
578846,21790,vintage snap cards,10,2011-11-25 17:27:00,0.85,17757.0,United Kingdom,8.5
539010,20713,jumbo bag owls,2,2010-12-15 13:24:00,1.95,15005.0,United Kingdom,3.9
570458,21485,retrospot heart hot water bottle,1,2011-10-10 15:39:00,4.95,14535.0,United Kingdom,4.95
557639,22570,feltcraft cushion rabbit,1,2011-06-21 16:13:00,3.75,12933.0,United Kingdom,3.75
539019,22693,grow a flytrap or sunflower in tin,24,2010-12-15 14:12:00,1.25,17551.0,United Kingdom,30.0
569019,84946,antique silver t-light glass,24,2011-09-30 09:38:00,1.25,15602.0,United Kingdom,30.0
546422,84406B,cream cupid hearts coat hanger,1,2011-03-13 11:38:00,4.15,15547.0,United Kingdom,4.15
539043,22837,hot water bottle babushka,4,2010-12-15 15:45:00,4.65,12928.0,United Kingdom,18.6
571665,22592,cardholder holly wreath metal,8,2011-10-18 12:59:00,3.75,12540.0,Spain,30.0
561197,22904,calendar paper cut design,6,2011-07-25 14:35:00,2.95,16364.0,United Kingdom,17.700000000000003
560997,20725,lunch bag red retrospot,20,2011-07-22 13:59:00,1.65,12627.0,Germany,33.0
573576,21947,set of 6 heart chopsticks,3,2011-10-31 14:09:00,2.46,14096.0,United Kingdom,7.38
555257,20974,12 pencils small tube skull,48,2011-06-01 15:28:00,0.65,17596.0,United Kingdom,31.200000000000003
555920,21523,doormat fancy font home sweet home,200,2011-06-07 16:35:00,4.58,18102.0,United Kingdom,916.0
570594,23389,spaceboy mini backpack,4,2011-10-11 11:43:00,4.15,13517.0,United Kingdom,16.6
558770,22131,food container set 3 love heart,1,2011-07-03 15:19:00,1.95,12748.0,United Kingdom,1.95
576538,21479,white skull hot water bottle,10,2011-11-15 12:42:00,4.25,14725.0,United Kingdom,42.5
574547,21162,toxic area  door hanger,1,2011-11-04 15:08:00,0.39,17841.0,United Kingdom,0.39
577174,23266,set of 3 wooden stocking decoration,2,2011-11-18 10:58:00,1.25,17841.0,United Kingdom,2.5
555703,21930,jumbo storage bag skulls,10,2011-06-06 15:06:00,2.08,15379.0,United Kingdom,20.8
549129,22132,red love heart shape cup,1,2011-04-06 14:53:00,0.85,17042.0,United Kingdom,0.85
555543,23147,single antique rose hook ivory,24,2011-06-05 12:59:00,1.45,13089.0,United Kingdom,34.8
547063,21774,decorative cats bathroom bottle,12,2011-03-20 13:33:00,1.25,14769.0,United Kingdom,15.0
547491,22077,6 ribbons rustic charm,12,2011-03-23 12:05:00,1.65,17096.0,United Kingdom,19.799999999999997
565922,22076,6 ribbons empire,12,2011-09-08 09:51:00,1.65,14116.0,United Kingdom,19.799999999999997
578678,23220,reindeer heart decoration gold,1,2011-11-24 19:59:00,0.83,17841.0,United Kingdom,0.83
536412,22328,round snack boxes set of 4 fruits,1,2010-12-01 11:49:00,2.95,17920.0,United Kingdom,2.95
567138,22624,ivory kitchen scales,2,2011-09-16 14:39:00,8.5,17652.0,United Kingdom,17.0
551869,22713,card i love london,24,2011-05-04 16:36:00,0.42,16767.0,United Kingdom,10.08
569223,22817,card suki birthday,12,2011-10-02 13:49:00,0.42,16283.0,United Kingdom,5.04
560555,21983,pack of 12 blue paisley tissues,2,2011-07-19 13:01:00,0.29,14178.0,United Kingdom,0.58
556470,22853,cat bowl vintage cream,6,2011-06-12 11:41:00,3.25,15291.0,United Kingdom,19.5
578357,22630,dolly girl lunch box,2,2011-11-24 10:24:00,1.95,17228.0,United Kingdom,3.9
565616,23550,wrap alphabet poster,25,2011-09-05 15:26:00,0.42,15238.0,United Kingdom,10.5
559557,23173,regency teapot roses,2,2011-07-11 10:33:00,9.95,17444.0,Canada,19.9
552302,84692,box of 24 cocktail parasols,2,2011-05-08 14:59:00,0.42,14606.0,United Kingdom,0.84
555572,21791,vintage heads and tails card game,12,2011-06-05 15:37:00,1.25,12449.0,Belgium,15.0
542996,84879,assorted colour bird ornament,24,2011-02-02 12:10:00,1.69,15046.0,United Kingdom,40.56
572918,21507,elephant birthday card,12,2011-10-26 16:43:00,0.42,14379.0,United Kingdom,5.04
578043,23569,tradtional alphabet stamp set,4,2011-11-22 14:39:00,4.95,12474.0,Germany,19.8
579167,22059,ceramic strawberry design mug,2,2011-11-28 14:06:00,1.49,16800.0,United Kingdom,2.98
559029,23123,cocktail swords 50 pieces,12,2011-07-05 14:42:00,0.83,16316.0,United Kingdom,9.959999999999999
573335,85049G,chocolate box ribbons,2,2011-10-30 11:35:00,1.25,15059.0,United Kingdom,2.5
561113,15056BL,edwardian parasol black,1,2011-07-25 12:09:00,5.95,17841.0,United Kingdom,5.95
574328,84692,box of 24 cocktail parasols,50,2011-11-04 09:05:00,0.42,13081.0,United Kingdom,21.0
560360,22893,mini cake stand t-light holder,24,2011-07-18 11:55:00,0.42,12744.0,Singapore,10.08
575504,21216,"set 3 retrospot tea,coffee,sugar",4,2011-11-10 10:29:00,4.95,14895.0,United Kingdom,19.8
575036,23343,jumbo bag vintage christmas,20,2011-11-08 11:45:00,2.08,15249.0,United Kingdom,41.6
569216,21328,balloons  writing set,3,2011-10-02 12:41:00,1.65,15555.0,United Kingdom,4.949999999999999
538378,22110,bird house hot water bottle,1,2010-12-12 11:26:00,2.55,14577.0,United Kingdom,2.55
557350,22720,set of 3 cake tins pantry design,3,2011-06-20 10:41:00,4.95,16670.0,United Kingdom,14.850000000000001
571441,85049G,chocolate box ribbons,1,2011-10-17 13:31:00,2.46,14096.0,United Kingdom,2.46
566173,22028,penny farthing birthday card,24,2011-09-09 12:24:00,0.42,12787.0,Netherlands,10.08
574038,21314,small glass heart trinket pot,8,2011-11-02 12:56:00,2.1,18164.0,United Kingdom,16.8
575481,22630,dolly girl lunch box,4,2011-11-09 16:28:00,1.95,15679.0,United Kingdom,7.8
563347,22568,feltcraft cushion owl,4,2011-08-15 13:46:00,3.75,16961.0,United Kingdom,15.0
544096,22084,paper chain kit empire,6,2011-02-16 09:45:00,2.95,14386.0,United Kingdom,17.700000000000003
